"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55915.1637844047","57946.1353524282","60345.9689564284","60248.9487171343","61767.6608627538","64188.5508346921","65587.8423612733","64190.1631172206","63099.2411459933","64532.5146382727","66439.1367194862","68349.9303844996","70717.7790012773","72755.3211265061","73808.3213789057","75214.167116211","79772.8905497993","81012.9900947598","80036.7459938278","78298.5229939319","80280.0244489225","83935.2257151622","88245.9583498698","83788.5108927602","81371.2308691448","62540.6252209261","56297.2267116989","60994.5315563275","61839.1175656081","64724.1324759456","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1625.28069127957","1658.68249445183","1780.99317286157","1860.53731382312","2006.00558829869","2177.01111989885","2309.46675735085","2420.51266648369","2530.06639487621","2738.97962301684","2696.37839136602","2923.11646372663","3229.50883026657","3480.08417066715","3723.4617282224","4056.15255166907","4412.51005792387","5302.73422031415","5608.4944604718","5972.87056933915","6693.51591287704","7295.85332842291","7912.14464450907","7989.68917892584","8666.45572463658","9500.65071564979","10457.244384538","11142.4746724654","11620.9159001164","12332.5394928352","",
"Botswana","BWA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5682.07212188957","6124.06540503411","6270.37860229716","6375.62230328316","6583.54464446275","7022.21181352353","7388.87180135711","7953.38619332669","7897.09066205211","8597.69624041558","8784.19407640036","8830.94224907284","9347.85152298419","9791.02543257698","10144.5063829464","10733.2254814196","11742.5006428721","12780.6386819471","13552.6333716045","12366.5540206239","13352.2879340646","14252.6847646291","13590.5155297994","14707.5949596616","16300.829510516","15547.1643247545","17260.4565424384","17253.6874951645","18058.060955774","18506.5225070126","",
"Central African Republic","CAF","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","635.437472516525","637.008608777779","593.03890871786","591.745668585653","616.024053430699","655.888543943044","624.596295605886","652.435841337507","674.282029515057","692.203698323647","674.440851650532","704.222542934992","725.61483382938","684.955920314678","730.746977650051","745.573232390044","789.209642056639","831.608980433439","849.941050174164","916.187705564127","958.921104128334","1012.65740130414","1102.02752561172","738.474892262448","720.324109649209","787.012906484635","851.072671306351","912.803045335037","955.513744292128","985.112041352215","",
"Canada","CAN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20150.2850200566","20145.4210040285","20550.047859844","21363.0708638975","22554.7070189449","23402.8813471099","23963.3922239491","25166.8700796266","26219.956548434","27745.8065524148","29265.2513176458","30107.7062521834","30853.201316329","32219.4550215018","33795.6562999652","36211.0845984165","37995.1623578246","39452.0026920462","40275.9898957504","38795.4796850687","40019.9262502347","41569.449617197","42290.9654102745","44298.5787342765","45753.7505547994","44670.0805385838","46472.3402486315","48327.614814477","50075.3441812234","50510.7476154977","",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7096.92815205486","6652.73913701827","6685.19011205083","6956.41792353402","7393.54981860664","7974.5306256413","8378.73176252848","8700.29814953979","9093.74627689026","9393.39857868219","10015.5079515341","10798.8292561136","11625.2762029798","12322.1776677623","13463.2566786496","14302.1330397957","15889.6369511771","17726.5085607892","19660.9934142645","19701.2711874592","20801.9915823116","22181.3957873302","22962.7775708133","23954.0431938385","24969.9252923895","26121.9602561649","27858.0574631239","29879.6064082162","31907.7952410182","34111.7546890587","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27570.6328343831","27891.1936637984","28201.6844949962","28572.0912698961","29318.1065890218","29876.4850004272","30505.9873948467","31804.7537189105","32917.7995510781","33814.0792910998","35765.1708823458","36778.5410644032","37718.3040957379","37716.2896370852","39173.2347495347","40572.2632072283","45092.8641918752","49734.0322331691","52584.7349547922","51796.5382482069","53112.424584429","56183.8325669209","57849.5839515252","60108.5163468318","61902.1624060426","63921.8025107178","65726.8171696837","66697.5709718466","68709.4441829587","70276.5547410091","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4511.17209753179","4952.53960810486","5622.77774235554","6119.38145866539","6568.77796586411","7351.82983022868","8011.57277265605","8637.32662065805","8995.76322152457","8977.1168417076","9553.56849069601","9972.65166946656","10333.0609557183","10841.325904755","11812.6341256259","12746.5896892655","15753.9601005362","16941.8298335969","16501.8098843946","16159.6071479931","18161.8092446236","20342.5614772686","21507.6925701952","22439.2732478544","22786.6427713296","22698.5456555444","23437.5925260303","24471.6109211716","24797.5587082134","26247.3857926373","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","982.500870278052","1094.77143147265","1263.41631812506","1456.07946949574","1662.15875872012","1862.55412223088","2063.11692637571","2269.20140135341","2451.15280359012","2653.97362583862","2920.5607907798","3210.00939573493","3534.84912979555","3937.31287532154","4425.87419105552","5053.94579809379","5836.57343667073","6810.60390010278","7574.22445503152","8307.84951895952","9253.76518771438","10299.870694002","11197.5969363537","11923.7526189386","12549.7718312938","12978.7689105711","13572.6199886903","14344.4212394407","15608.9670692445","16846.8008537789","",
